Product Name,Category,Description,Price,Stock Quantity,Supplier Information
Facial Cleanser,Automotive,Top-rated for its reliability and performance,189.82,971,Roboto
Eye Cream,Beauty,Perfect gift for all occasions,495.18,507,Mivi
Foundation,Home & Kitchen,Made from premium materials for long-lasting performance,198.1,452,Apple
Concealer,Sports,Highly recommended by experts and users alike,136.56,998,Google
Blush,Clothing,Affordable and durable with great customer reviews,495.94,511,Apple
Perfume,Beauty,High-quality product with excellent features,422.45,303,Botto
Deodorant,Clothing,Highly recommended by experts and users alike,208.7,146,Botto
Shampoo,Toys,Perfect gift for all occasions,188.93,13,Botto
Conditioner,Automotive,Top-rated for its reliability and performance,185.92,65,Google
Body Lotion,Sports,Perfect gift for all occasions,259.74,764,Google
Hand Soap,Groceries,Made from premium materials for long-lasting performance,435.86,557,Roboto
Toothpaste,Clothing,Stylish design and comfortable to use,380.15,5,Botto
Mouthwash,Beauty,Made from premium materials for long-lasting performance,162.74,158,Apple
Dental Floss,Automotive,Perfect gift for all occasions,72.87,696,Apple
Baby Stroller,Toys,Top-rated for its reliability and performance,150.52,698,Mivi
Diaper Bag,Clothing,Highly recommended by experts and users alike,365.65,940,Roboto
Infant Car Seat,Automotive,Stylish design and comfortable to use,250.3,905,Botto
Baby Monitor,Groceries,Made from premium materials for long-lasting performance,6.11,691,Mivi
Crib,Sports,Top-rated for its reliability and performance,434.23,188,Roboto
High Chair,Clothing,Top-rated for its reliability and performance,417,347,Apple
Toys for Kids,Clothing,Energy-efficient and eco-friendly,36.81,967,Roboto
Board Games,Health,Energy-efficient and eco-friendly,175.99,963,Apple
Puzzle Set,Groceries,Highly recommended by experts and users alike,265.48,217,Botto
Art Supplies,Automotive,"Compact and lightweight, perfect for travel",322.57,229,Mivi
Drawing Tablet,Health,High-quality product with excellent features,255.27,119,Apple
Book Set,Home & Kitchen,Energy-efficient and eco-friendly,401.1,374,Mivi
Notebook,Clothing,Energy-efficient and eco-friendly,393.27,312,Google
Pen Set,Clothing,Best in class and suitable for everyday use,123.57,795,Mivi
Sketchbook,Toys,Made from premium materials for long-lasting performance,405.02,702,Mivi
Laptop Backpack,Groceries,Top-rated for its reliability and performance,355.65,67,Apple
Travel Mug,Books,Stylish design and comfortable to use,154.35,247,Roboto
Suitcase,Beauty,Affordable and durable with great customer reviews,222.33,876,Botto
Wallet,Sports,Stylish design and comfortable to use,338.05,316,Google
Watch,Clothing,Affordable and durable with great customer reviews,325.87,620,Botto
Sunglasses,Clothing,Affordable and durable with great customer reviews,178.99,153,Apple
Jewelry Box,Sports,Top-rated for its reliability and performance,293.41,365,Google
Tablet,Health,Best in class and suitable for everyday use,12.15,848,Google
Smart Glasses,Groceries,Affordable and durable with great customer reviews,260.62,781,Apple
